6,21,21,21,0,12,12,12,12
6,10,22,1,0,12,12,12,12
6,21,5,2,11,0,12,12,12
6,20,5,10,2,0,12,12,12
6,21,5,1,1,0,12,12,12
6,21,10,21,11,0,12,12,12
6,11,4,21,2,12,0,12,12
6,4,20,5,2,3,0,12,12
6,1,1,20,11,3,0,12,12
6,21,12,2,3,12,0,12,12
6,21,2,4,3,1,0,12,12
6,4,21,10,3,11,0,12,12
6,3,22,11,2,1,0,12,12
6,1,21,1,21,1,0,12,12
6,11,5,22,5,12,0,12,12
6,20,5,1,12,3,0,12,12
6,4,1,4,21,21,0,12,12
6,22,10,2,1,12,0,12,12
6,20,5,2,3,13,0,12,12
6,13,21,5,3,1,13,0,12
6,20,11,6,20,5,12,0,12
6,21,5,10,3,2,1,0,12
6,4,4,3,21,11,4,0,12
6,20,1,3,1,3,4,0,12
6,11,3,1,20,4,11,0,12
6,22,5,22,5,1,12,0,12
6,2,3,12,21,1,11,0,12
6,10,5,22,5,3,4,0,12
6,4,4,1,1,22,11,0,12
6,21,21,12,2,12,3,0,12
6,20,6,5,20,4,3,0,12
6,3,4,2,22,10,5,0,12
6,22,22,5,12,4,2,0,12
6,21,5,6,21,5,2,3,0
6,1,12,6,3,20,4,11,0
6,21,2,1,21,12,3,12,0
6,22,5,13,2,1,3,4,0
6,13,3,21,5,21,5,1,0
6,2,20,10,5,1,12,4,0
6,3,3,3,22,3,3,3,0
6,11,20,12,21,10,22,13,0
6,2,1,5,21,5,12,2,0
6,1,3,2,21,2,3,1,0
6,21,5,21,5,21,5,12,0
